Org_Code,District,District_Type,Grade_Level,Single_School_District,County,Enrolled,Econ_disadv,Students_with_disabilities,English_learners,Five_Yr_change_in_enroll,Ten_Yr_change_in_enroll,Student_mobility,Choice_in_percent_of_enrolled,ELA_meet_exceed_expectations,Math_meet_exceed_expectations,ELA_student_growth_percentile,Math_student_growth_percentile,FTE_tchrs_per_100_students,Av_tchr_salary,Teacher_retention,Funds_per_indistrict_pupil,Foundation_enroll,Above_Below_req_net_school_spending,Combined_effort_yield_as_percent_of_foundation_budget,Ch_70_aid_per_pupil
04300000,Advanced Math and Science Academy,CharterC,,Single,,974,6.6,6.0,4.5,--,--,3.2,0.0,70.0,66.0,53.5,47.4,8.4,,87.4,0,,,0,--
04310000,Community Day Kingman Webster,CharterC,Elementary,Single,,360,49.4,8.6,29.4,--,--,2.8,0.0,75.0,77.0,63.4,69.2,10.8,,60.0,0,,,0,--
04320000,Cape Cod Lighthouse,CharterC,,Single,,242,16.5,15.7,0.4,--,--,5.6,0.0,69.0,56.0,52.0,50.3,8.9,,89.7,0,,,0,--
04350000,Innovation Academy,CharterC,,Single,,797,11.3,19.7,1.8,--,--,2.2,0.0,57.0,53.0,51.6,48.4,8.8,,85.2,0,,,0,--
04360000,Community Charter of Cambridge,CharterC,,Single,,332,32.5,15.1,3.9,--,--,8.1,0.0,53.0,51.0,46.0,49.6,11.1,,63.6,0,,,0,--
04370000,City on a Hill Circuit Street,CharterC,,Single,,271,56.5,20.3,14.0,--,--,9.4,0.0,,,,,8.7,,54.5,0,,,0,--
04380000,Codman Academy,CharterC,,Single,,342,53.8,17.8,5.8,--,--,12.2,0.0,10.0,3.0,48.4,45.0,11.6,,60.0,0,,,0,--
04390000,Conservatory Lab,CharterC,Elementary,Single,,441,48.8,11.1,15.2,--,--,17.9,0.0,41.0,30.0,59.3,58.8,5.7,,66.7,0,,,0,--
04400000,Community Day Prospect,CharterC,Elementary,Single,,399,47.9,13.3,30.8,--,--,1.0,0.0,66.0,67.0,57.5,54.4,10.9,,63.0,0,,,0,--
04410000,Sabis International,CharterC,,Single,,"1577",38.9,12.9,4.8,--,--,8.4,0.0,36.0,23.0,41.2,40.8,4.1,,77.7,0,,,0,--
04440000,Neighborhood House,CharterC,,Single,,646,39.3,17.2,11.5,--,--,16.2,0.0,50.0,31.0,53.1,46.9,10.3,,61.0,0,,,0,--
04450000,Abby Kelley Foster,CharterC,,Single,,"1428",37.7,12.0,9.9,--,--,2.9,0.0,44.0,37.0,48.7,52.9,8.2,,84.7,0,,,0,--
04460000,Foxborough Regional Charter,CharterC,,Single,,"1630",21.4,9.0,9.3,--,--,5.4,0.0,45.0,43.0,41.5,50.8,8.0,,84.3,0,,,0,--
04470000,Benjamin Franklin Classical,CharterC,Elementary,Single,,459,7.4,12.0,5.7,--,--,4.8,0.0,75.0,73.0,45.3,47.2,6.5,,81.8,0,,,0,--
