District,District_Code,African_American,Asian,Hispanic,White,Native_American,Native_Hawaiian_Pacific_Islander,MultiRace_NonHispanic,Males,Females
City on a Hill Charter Public School Circuit Street (District),04370000,67.9,0.0,29.9,1.8,0.0,0.0,0.4,52.4,47.6
City on a Hill Charter Public School Dudley Square (District),35040000,67.8,2.4,26.9,1.6,0.0,0.0,1.2,48.2,51.8
City on a Hill Charter Public School New Bedford (District),35070000,11.1,0.9,45.6,36.4,0.9,0.0,5.1,52.1,47.5
Clarksburg,00630000,0.0,0.0,0.5,96.2,0.0,0.0,3.2,49.2,50.8
Clinton,00640000,3.4,1.5,25.0,68.0,0.0,0.1,2.0,52.0,48.0
Codman Academy Charter Public (District),04380000,75.7,0.0,21.9,0.6,0.3,0.6,0.9,48.8,51.2
Cohasset,00650000,3.0,2.4,1.3,91.8,0.1,0.0,1.3,50.9,49.1
Collegiate Charter School of Lowell (District),35030000,18.8,25.1,36.1,15.4,0.1,0.0,4.6,49.1,50.9
Community Charter School of Cambridge (District),04360000,65.1,4.8,20.8,4.2,0.6,0.3,4.2,44.6,55.4
Community Day Charter Public School - Gateway (District),04260000,1.1,0.6,95.6,2.5,0.3,0.0,0.0,51.9,48.1
Community Day Charter Public School - Prospect (District),04400000,0.5,0.3,97.2,2.0,0.0,0.0,0.0,49.1,50.9
Community Day Charter Public School - R. Kingman Webster (District),04310000,1.1,1.1,93.6,3.6,0.0,0.0,0.6,48.1,51.9
Concord,00670000,4.2,7.2,6.3,75.7,0.1,0.0,6.3,51.7,48.2
Concord-Carlisle,06400000,4.2,8.7,4.6,77.6,0.1,0.0,4.8,47.3,52.5
Conservatory Lab Charter (District),04390000,48.8,3.2,40.8,4.8,0.0,0.0,2.5,44.7,55.3
Conway,00680000,1.5,0.0,5.2,92.6,0.0,0.0,0.7,52.6,47.4
Danvers,00710000,2.3,2.6,7.8,84.4,0.2,0.1,2.6,51.0,49.0
Dartmouth,00720000,1.4,0.6,4.1,87.7,0.0,0.0,6.2,52.6,47.3
Dedham,00730000,7.3,2.6,16.0,69.6,0.2,0.0,4.3,51.9,48.1
Deerfield,00740000,0.3,0.8,6.1,85.7,0.0,0.0,7.1,49.2,50.8
Dennis-Yarmouth,06450000,9.4,2.2,12.5,67.1,2.1,0.2,6.5,50.8,49.2
Dighton-Rehoboth,06500000,1.1,1.3,4.5,89.6,0.1,0.0,3.4,51.9,48.1
Douglas,00770000,0.5,1.1,3.8,91.4,0.0,0.2,3.0,51.8,48.2
Dover,00780000,3.4,14.8,4.2,72.5,0.0,0.2,4.8,56.1,43.9
Dover-Sherborn,06550000,2.9,8.7,4.0,80.1,0.2,0.0,4.1,52.2,47.7
Dracut,00790000,6.6,6.6,9.5,75.3,0.2,0.0,1.8,51.9,48.1
Dudley Street Neighborhood Charter School (District),04070000,62.5,0.0,34.8,2.0,0.4,0.0,0.4,47.7,52.3
Dudley-Charlton Reg,06580000,1.6,1.2,8.4,85.7,0.2,0.1,2.9,50.9,49.1
Duxbury,00820000,0.3,1.3,2.3,92.7,0.1,0.0,3.3,50.6,49.4
East Bridgewater,00830000,2.8,0.8,2.1,91.2,0.4,0.0,2.7,50.8,49.2
East Longmeadow,00870000,3.5,5.3,8.6,79.5,0.2,0.1,2.8,51.6,48.4
Eastham,00850000,8.2,3.5,1.8,83.6,0.0,0.0,2.9,52.0,48.0
Easthampton,00860000,1.1,3.6,13.1,78.8,0.3,0.1,3.0,50.7,49.2
Easton,00880000,6.2,3.2,5.5,81.6,0.4,0.1,3.1,50.2,49.8
Edgartown,00890000,3.5,0.3,19.7,67.8,2.4,0.0,6.2,48.4,51.6
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,40.7,0.8,51.4,3.7,0.5,0.0,2.9,37.3,62.7
Erving,00910000,0.8,0.0,3.1,84.4,0.0,0.0,11.7,53.9,46.1
Essex North Shore Agricultural and Technical School District,08170000,1.1,1.6,12.0,81.8,0.4,0.0,3.0,42.0,57.8
Everett,00930000,16.4,5.1,54.4,22.0,0.4,0.1,1.7,51.1,48.9
Excel Academy Charter (District),04100000,6.4,1.2,79.3,11.4,0.8,0.3,0.5,49.0,51.0
Fairhaven,00940000,2.2,1.8,5.5,86.3,0.6,0.0,3.5,49.8,50.2
Fall River,00950000,8.4,3.9,27.5,51.3,0.2,0.1,8.7,51.3,48.7
Falmouth,00960000,4.8,2.2,6.2,79.5,1.2,0.1,6.0,50.2,49.7
Farmington River Reg,06620000,0.0,0.0,0.9,99.1,0.0,0.0,0.0,60.9,39.1
Fitchburg,00970000,6.5,4.8,51.8,29.6,0.0,0.1,7.3,51.8,48.2
Florida,00980000,1.1,0.0,0.0,98.9,0.0,0.0,0.0,49.4,50.6
Four Rivers Charter Public (District),04130000,2.3,1.8,7.3,83.6,0.5,0.0,4.6,48.4,51.6
Foxborough,00990000,4.8,4.3,5.4,82.1,0.4,0.1,2.7,51.8,48.1
Foxborough Regional Charter (District),04460000,46.7,9.8,4.8,32.9,0.3,0.2,5.3,48.2,51.8
Framingham,01000000,7.6,4.9,27.4,55.7,0.1,0.1,4.3,51.1,48.9
Francis W. Parker Charter Essential (District),04780000,1.0,1.8,2.3,89.9,0.0,0.0,5.0,46.6,52.4
Franklin,01010000,1.9,5.6,3.4,86.2,0.1,0.8,2.0,51.3,48.6
Franklin County Regional Vocational Technical,08180000,1.6,0.0,3.6,92.3,0.0,0.0,2.4,65.6,34.4
Freetown-Lakeville,06650000,1.4,0.8,1.7,93.8,0.1,0.1,2.1,51.3,48.7
Frontier,06700000,1.4,2.8,4.2,88.4,0.0,0.2,3.1,54.3,45.7
Gardner,01030000,2.7,2.1,20.5,66.9,0.2,0.0,7.6,52.6,47.2
Gateway,06720000,0.8,0.4,4.2,91.8,0.4,0.1,2.3,50.4,49.6
Georgetown,01050000,0.6,1.2,2.1,94.1,0.0,0.1,1.9,51.1,48.9
Gill-Montague,06740000,1.3,0.4,11.4,79.7,0.2,0.2,6.7,52.1,47.9
Global Learning Charter Public (District),04960000,10.3,1.0,40.8,43.0,0.6,0.0,4.4,49.1,50.9
Gloucester,01070000,1.8,1.2,10.2,83.0,0.3,0.2,3.4,52.1,47.9
Gosnold,01090000,0.0,0.0,0.0, 100.0,0.0,0.0,0.0,0.0, 100.0
Grafton,01100000,1.6,12.1,4.6,78.3,0.1,0.1,3.0,51.8,48.2
Granby,01110000,0.1,1.5,9.5,86.0,0.4,0.0,2.5,52.3,47.7
Greater Fall River Regional Vocational Technical,08210000,2.6,1.8,11.5,77.7,0.4,0.1,5.8,54.4,45.6
Greater Lawrence Regional Vocational Technical,08230000,1.1,1.3,82.3,15.2,0.1,0.0,0.0,49.8,50.2
Greater Lowell Regional Vocational Technical,08280000,4.3,15.8,34.4,41.4,0.3,0.0,3.8,53.9,46.0
Greater New Bedford Regional Vocational Technical,08250000,8.3,0.9,22.6,63.3,0.4,0.0,4.3,50.4,49.6
Greenfield,01140000,2.5,1.4,19.2,71.6,0.1,0.0,5.2,52.8,47.1
Greenfield Commonwealth Virtual District,39010000,11.0,4.2,17.8,60.0,0.3,0.7,5.9,46.1,53.9
Groton-Dunstable,06730000,1.1,6.5,2.4,87.1,0.3,0.2,2.5,50.7,49.3
Hadley,01170000,2.2,4.7,9.5,78.0,0.4,2.2,3.0,51.5,48.5
Halifax,01180000,1.3,0.2,4.3,91.3,0.3,0.0,2.6,51.2,48.8
Hamilton-Wenham,06750000,0.5,3.7,4.2,89.3,0.1,0.3,2.0,48.7,51.3
